Product Name,Dimensions,Weight,Measurement Range,Applications,Voltage,Communication Interface,Frequency Range,Distance Accuracy,FOV Range,Max Targets,Output Data,Waterproof Rating
U20,35*35mm,≤30g,1~20m,Drone Obstacle Avoidance and Terrain Following,DC5V（500mA）,TTL/RS485/RS422,79~81GHz/60~64GHz,0.02m,Azimuth ±60°/ Elevation ±18°,24,Target Tracking Trajectory (Target Scatter Point Cloud),
U80,50*50mm,≤70g,1~100m,Drone Obstacle Avoidance and Terrain Following,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,79~81GHz/60~64GHz,0.02m,Azimuth ±60°/ Elevation ±15°,24,Target Tracking Trajectory (Target Scatter Point Cloud),
U100,50*50mm,≤50g,1~100m,Drone Obstacle Avoidance and Terrain Following,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,79~81GHz/60~64GHz,0.02m,Azimuth ±60°/ Elevation ±10°,24,Target Tracking Trajectory (Target Scatter Point Cloud),
U200,70*50mm,≤100g,1~200m,Drone Obstacle Avoidance and Terrain Following,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,79~81GHz/60~64GHz,0.02m,Azimuth ±60°/ Elevation ±12°,24,Target Tracking Trajectory (Target Scatter Point Cloud),-
VF160,95.6*77.2*21.6mm,≤200g,1~160m,Automotive Front Obstacle Avoidance Radar,DC12V（400mA）,CAN/CAN-FD/TTL,76~81GHz,0.02m,Azimuth ±60°/ Elevation ±10°,24,Target Tracking Trajectory (Target Scatter Point Cloud/ Target Height Data Output within 40m),IP67
VF200,95.6*77.2*21.6mm,≤200g,1~200m,Automotive Front Obstacle Avoidance Radar,DC12V（500mA）,CAN/RS485/RS422/TTL,76~81GHz,0.02m,Azimuth ±60°/ Elevation ±10°,24,Target Tracking Trajectory (Target Scatter Point Cloud/ Target Height Data Output within 40m),
VJ40,91*66*15mm,≤200g,1~40m,Automotive Corner Radar,DC12V（300mA）,CAN/CAN-FD/TTL,76~81GHz,0.02m,Azimuth ±60°/ Elevation ±10°,24,Target Tracking Trajectory (Target Scatter Point Cloud),IP67
VJ80,91*66*15mm,≤120g,1~80m,Automotive Corner Radar,DC12V（350mA）,CAN/CAN-FD/TTL,76~81GHz,0.02m,Azimuth ±60°/ Elevation ±10°,24,Target Tracking Trajectory (Target Scatter Point Cloud/ Target Height Data Output within 40m),IP67
R20,40*40mm,≤30g,1~20m,Robot Obstacle Avoidance Radar,DC5V（400mA）,TTL/RS485/RS422,60~64GHz,0.02m,Azimuth ±60°/ Elevation ±26°,24,Target Tracking Trajectory (Target Scatter Point Cloud),
I260,204*187*49mm,≤1000g,0.5~260m,Smart Traffic Radar,DC12V（1000mA）,RJ45/RS485/RS422/TTL,76~81GHz/60~64GHz,0.03m,Azimuth ±60°/ Elevation ±5°,256,Target Tracking Trajectory (Target Scatter Point Cloud),IP67
I500,204*187*49mm,≤1000g,0.5~500m,Smart Traffic Radar,DC12V（1000mA）,RJ45/RS485/RS422/TTL,79~81GHz/60~64GHz,0.05m,Azimuth ±60°/ Elevation ±5°,256,Target Tracking Trajectory (Target Scatter Point Cloud),IP67
H10,50*50mm,≤50g,0.3~10m,Indoor Personnel Detection Radar,DC5V（500mA）,TTL/RS485/RS422/RS232,79~81GHz/60~64GHz,0.02m,Azimuth ±60°/ Elevation ±30°,10,Target Tracking Trajectory (Target Scatter Point Cloud),
