产品名称,尺寸,重量,测量范围,应用,电压,通讯介面,频率范围,距离精度,视场范围,最大目标数量,输出数据,防水等级
U20,35*35mm,≤30g,1~20m,无人机避障与防地飞行,DC5V（500mA）,TTL/RS485/RS422,79~81GHz/60~64GHz,0.02m,方位向±60°，俯仰向±18°,24,目标跟踪轨迹（目标散射点云）,
U80,50*50mm,≤70g,1~100m,无人机避障与防地飞行,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,79~81GHz/60~64GHz,0.02m,方位向±60°，俯仰向±15°,24,目标跟踪轨迹（目标散射点云）,
U100,50*50mm,≤50g,1~100m,无人机避障与防地飞行,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,79~81GHz/60~64GHz,0.02m,方位向±60°，俯仰向±10°,24,目标跟踪轨迹（目标散射点云）,
U200,70*50mm,≤100g,1~200m,无人机避障与防地飞行,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,79~81GHz/60~64GHz,0.02m,方位向±60°，俯仰向±12°,24,目标跟踪轨迹（目标散射点云）,-
VF160,95.6*77.2*21.6mm,≤200g,1~160m,汽车前向避障雷达,DC12V（400mA）,CAN/CAN-FD/TTL,76~81GHz,0.02m,方位向±60°，俯仰向±10°,24,目标跟踪轨迹(目标散射点云，40m内可输出目标高度数据）,IP67
VF200,95.6*77.2*21.6mm,≤200g,1~200m,汽车前向避障雷达,DC12V（500mA）,CAN/RS485/RS422/TTL,76~81GHz,0.02m,方位向±60°，俯仰向±10°,24,目标跟踪轨迹(目标散射点云，40m内可输出目标高度数据）,
VJ40,91*66*15mm,≤200g,1~40m,汽车角雷达,DC12V（300mA）,CAN/CAN-FD/TTL,76~81GHz,0.02m,方位向±60°，俯仰向±10°,24,目标跟踪轨迹（目标散射点云）,IP67
VJ80,91*66*15mm,≤120g,1~80m,汽车角雷达,DC12V（350mA）,CAN/CAN-FD/TTL,76~81GHz,0.02m,方位向±60°，俯仰向±10°,24,目标跟踪轨迹(目标散射点云，40m内可输出目标高度数据）,IP67
R20,40*40mm,≤30g,1~20m,机器人避障雷达,DC5V（400mA）,TTL/RS485/RS422,60~64GHz,0.02m,方位向±60°，俯仰向±26°,24,目标跟踪轨迹（目标散射点云）,
I260,204*187*49mm,≤1000g,0.5~260m,智慧交通雷达,DC12V（1000mA）,RJ45/RS485/RS422/TTL,76~81GHz/60~64GHz,0.03m,方位向±60°，俯仰向±5°,256,目标跟踪轨迹（目标散射点云）,IP67
I500,204*187*49mm,≤1000g,0.5~500m,智慧交通雷达,DC12V（1000mA）,RJ45/RS485/RS422/TTL,79~81GHz/60~64GHz,0.05m,方位向±60°，俯仰向±5°,256,目标跟踪轨迹（目标散射点云）,IP67
H10,50*50mm,≤50g,0.3~10m,室内人员检测雷达,DC5V（500mA）,TTL/RS485/RS422/RS232,79~81GHz/60~64GHz,0.02m,方位向±60°，俯仰向±30°,10,目标跟踪轨迹（目标散射点云）,
