產品名稱,尺寸,重量,測量範圍,應用,電壓,通訊介面,頻率範圍,距離精度,視場範圍,最大目標數量,輸出數據,防水等級
U20-77A,35*35mm,≤30g,1~20m,無人機避障與防地飛行,DC5V（500mA）,TTL/RS485/RS422,79~81GHz,0.02m,方位向 ±60°/ 俯仰向 ±18°,24,目標跟蹤軌跡（目標散射點雲）,-
U20-60A,35*35mm,≤30g,1~20m,無人機避障與防地飛行,DC5V（500mA）,TTL/RS485/RS422,60~64GHz,0.02m,方位向 ±60°/ 俯仰向 ±18°,24,目標跟蹤軌跡（目標散射點雲）,-
U80-77A,50*50mm,≤70g,1~80m,無人機避障與防地飛行,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,79~81GHz,0.02m,方位向 ±60°/ 俯仰向 ±15°,24,目標跟蹤軌跡（目標散射點雲）,-
U80-60A,50*50mm,≤70g,1~80m,無人機避障與防地飛行,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,60~64GHz,0.02m,方位向 ±60°/ 俯仰向 ±15°,24,目標跟蹤軌跡（目標散射點雲）,-
U100-77A,50*50mm,≤50g,1~100m,無人機避障與防地飛行,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,79~81GHz,0.02m,方位向 ±60°/ 俯仰向 ±10°,24,目標跟蹤軌跡（目標散射點雲）,-
U100-60A,50*50mm,≤50g,1~100m,無人機避障與防地飛行,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,60~64GHz,0.02m,方位向 ±60°/ 俯仰向 ±10°,24,目標跟蹤軌跡（目標散射點雲）,-
U200-77A,70*50mm,≤100g,1~200m,無人機避障與防地飛行,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,79~81GHz,0.02m,方位向 ±60°/ 俯仰向 ±12°,24,目標跟蹤軌跡（目標散射點雲）,-
U200-60A,70*50mm,≤100g,1~200m,無人機避障與防地飛行,DC12V（300mA）/DC5V（500mA）,CAN/TTL/RS485/RS422,60~64GHz,0.02m,方位向 ±60°/ 俯仰向 ±12°,24,目標跟蹤軌跡（目標散射點雲）,-
R20-60A,40*40mm,≤30g,1~20m,機器人避障雷達,DC5V（400mA）,TTL/RS485/RS422,60~64GHz,0.02m,方位向 ±60°/ 俯仰向 ±26°,24,目標跟蹤軌跡（目標散射點雲）,-
I260-77A,204*187*49mm,≤1000g,0.5~260m,智慧交通雷達,DC12V（1000mA）,RJ45/RS485/RS422/TTL,76~81GHz,0.03m,方位向 ±60°/ 俯仰向 ±5°,256,目標跟蹤軌跡（目標散射點雲）,IP67
I260-60A,204*187*49mm,≤1000g,0.5~260m,智慧交通雷達,DC12V（1000mA）,RJ45/RS485/RS422/TTL,60~64GHz,0.03m,方位向 ±60°/ 俯仰向 ±5°,256,目標跟蹤軌跡（目標散射點雲）,IP67
I500-77A,204*187*49mm,≤1000g,0.5~500m,智慧交通雷達,DC12V（1000mA）,RJ45/RS485/RS422/TTL,79~81GHz,0.05m,方位向 ±60°/ 俯仰向 ±5°,256,目標跟蹤軌跡（目標散射點雲）,IP67
I500-60A,204*187*49mm,≤1000g,0.5~500m,智慧交通雷達,DC12V（1000mA）,RJ45/RS485/RS422/TTL,60~64GHz,0.05m,方位向 ±60°/ 俯仰向 ±5°,256,目標跟蹤軌跡（目標散射點雲）,IP67
H10-77A,50*50mm,≤50g,0.3~10m,室內人員檢測雷達,DC5V（500mA）,TTL/RS485/RS422/RS232,79~81GHz,0.02m,方位向 ±60°/ 俯仰向 ±30°,10,目標跟蹤軌跡（目標散射點雲）,-
H10-60A,50*50mm,≤50g,0.3~10m,室內人員檢測雷達,DC5V（500mA）,TTL/RS485/RS422/RS232,60~64GHz,0.02m,方位向 ±60°/ 俯仰向 ±30°,10,目標跟蹤軌跡（目標散射點雲）,-
